cluster_id,direcciones,conexiones,reportadas
895,3,2,0
896,3,2,0
897,3,2,0
898,3,2,0
899,6,1,0
900,3,2,0
901,3,2,0
902,3,1,0
903,1213,1213,0
904,1145,1143,0
905,3,1,0
906,1206,1203,0
907,3,1,0
908,3,1,0
909,1839,1838,0
910,422,422,0
911,3,1,0
912,1483,1481,0
913,985,985,0
914,5,2,0
915,21,20,0
916,2,1,0
917,5,2,0
918,442,442,0
919,411,411,0
920,474,474,0
921,4,2,0
922,268,267,0
923,4,2,0
924,313,309,0
925,611,607,0
926,3,2,0
927,260,258,0
928,5,2,0
929,200,199,0
930,4,2,0
931,324,322,0
932,3,1,0
933,43,2,0
934,4,1,0
935,2,1,0
936,2,1,0
937,386,386,0
938,2,1,0
939,5,1,0
940,3,1,0
941,237,301,0
942,118,2,0
943,262,300,0
944,169,200,0
945,53,2,0
946,167,197,0
947,3,1,0
948,85,101,0
949,5,2,0
950,7,2,0
951,13,2,0
952,3,2,0
953,22,2,0
954,90,2,0
955,3,1,0
956,4,2,0
957,15,2,0
958,2,1,0
959,12,2,0
960,3,1,0
961,5,2,0
962,4,1,0
963,164,161,0
964,4,2,0
965,76,74,0
966,5,2,0
967,2,1,0
968,2,1,0
969,486,486,0
970,94,2,0
971,3,1,0
972,3,2,0
973,44,2,0
974,39,2,0
975,3,1,0
976,13,2,0
977,63,2,0
978,28,2,0
979,3,1,0
980,102,2,0
981,18,2,0
982,148,2,0
983,5,2,0
984,3,2,0
985,3,1,0
986,3,1,0
987,5,2,0
988,5,2,0
989,6,1,0
990,5,1,0
991,383,276,0
992,901,595,0
993,3,1,0
994,443,443,0
995,2,1,0
996,955,492,0
997,2,1,0
998,369,166,0
999,2,1,0
1000,320,320,0
1001,4,2,0
1002,5,2,0
1003,3,1,0
1004,7,2,0
1005,3,1,0
1006,4,2,0
1007,3,1,0
1008,3,1,0
1009,461,396,0
1010,432,379,0
1011,113,77,0
1012,440,386,0
1013,3,2,0
1014,3,2,0
1015,3,2,0
1016,7,1,0
1017,452,395,0
1018,3,2,0
1019,3,1,0
1020,46,2,0
1021,42,2,0
1022,4,2,0
1023,3,1,0
1024,3,1,0
1025,3,1,0
1026,3,1,0
1027,3,1,0
1028,3,1,0
1029,5,2,0
1030,5,2,0
1031,1904,1902,0
1032,2318,2317,0
1033,1520,1519,0
1034,2369,2368,0
1035,1873,1872,0
1036,1846,1844,0
1037,1815,1813,0
1038,2365,2364,0
1039,609,608,0
1040,3,1,0
1041,3,1,0
1042,520,517,0
1043,419,418,0
1044,44,2,0
1045,5,2,0
1046,491,490,0
1047,336,334,0
1048,3,2,0
1049,3,2,0
1050,1286,755,0
1051,4,2,0
1052,1505,1504,0
1053,4,2,0
1054,2287,2286,0
1055,4,2,0
1056,2748,2747,0
1057,3,2,0
1058,582,581,0
1059,3,2,0
1060,223,223,0
1061,5,2,0
1062,3,2,0
1063,4,2,0
1064,232,230,0
1065,4,2,0
1066,250,249,0
1067,5,2,0
1068,242,241,0
1069,4,2,0
1070,218,216,0
1071,5,2,0
1072,250,249,0
1073,4,2,0
1074,146,145,0
1075,3,1,0
1076,4,2,0
1077,17,9,0
1078,609,608,0
1079,3,2,0
1080,18,13,0
1081,5,2,0
1082,21,18,0
1083,4,2,0
1084,4,2,0
1085,14,12,0
1086,3,2,0
1087,14,10,0
1088,3,2,0
1089,17,13,0
1090,5,2,0
1091,10,8,0
1092,3,2,0
1093,4,2,0
1094,23,14,0
1095,5,4,0
1096,4,2,0
1097,16,11,0
1098,4,2,0
1099,13,12,0
1100,4,2,0
1101,40,39,0
1102,4,2,0
1103,2,2,0
1104,3,1,0
1105,5,1,0
1106,508,423,0
1107,3,1,0
1108,2,1,0
1109,656,464,0
1110,212,192,0
1111,136,108,0
1112,129,111,0
1113,292,162,0
1114,4,2,0
1115,877,529,0
1116,5,2,0
1117,278,197,0
1118,4,2,0
1119,171,142,0
